ODB-ID;Gemeinde;Ort;PLZ;Strasse / Nr.;Ensemble;Objekt;publiziertes PDF;GVZ Nr.;Baujahr;Einstufung;Datum Erlass;Erlass;Eigentumsbeschränkung;Grundbucheintrag;E-Koordinate;N-Koordinate
Objekt 5356;Hausen am Albis;Hausen am Albis;8915;Zugerstrasse 10;;Gemeindehaus;;00400845;1;regional;19.12.1979;RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton;PD;01.10.1985;2682891;1233088
Objekt 15132;Hausen am Albis;Ebertswil;8925;Dorfstrasse 13;;Haus 2;;00400278;1750;-;;;PD;21.11.1985;2684190;1231154
Objekt 7155;Hausen am Albis;Hausen am Albis;8915;Tüfenbach 13;Hausen am Albis: Doppelwohnhaus Gallmann/Aschwanden;Hausteil 1;;00401432;1742;kantonal;19.12.1979;RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton;PD;17.12.1985;2682323;1235019
Objekt 15139;Hausen am Albis;Ebertswil;8925;Husertal 13;Hausen am Albis: Reihenhaus;Hausteil 1;;00400403;1840;-;;;PD;22.12.1976;2684578;1231880
Objekt 14598;Hausen am Albis;Hausen am Albis;8915;Zugerstrasse 8;Hausen am Albis: Wohnhaus Müsegg;Hausteil 1;;00400857;1759;-;;;PD;03.12.1976;2682898;1233135
Objekt 15141;Hausen am Albis;Hausen am Albis;8915;Oberalbis 12;Hausen am Albis: Doppelwohnhaus;Hausteil 1;;00400451;1801;-;;;PD;19.10.1982;2684573;1232762
Objekt 14599;Hausen am Albis;Hausen am Albis;8915;Heischerstrasse 27;Hausen am Albis: Doppelwohnhaus;Hausteil 1;;00401042;1820;-;;;PD;12.12.1988;2682549;1233480
Objekt 14602;Hausen am Albis;Hausen am Albis;8915;Riedmatt 12;;Hausteil 1;;00401393;1;-;;;PD;27.10.1982;2681764;1235062
Objekt 7154;Hausen am Albis;Hausen am Albis;8915;Tüfenbach 12;Hausen am Albis: Doppelwohnhaus Tüfenbach;Hausteil 1;;00401421;1715;kantonal;19.12.1979;RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton;PD;28.02.1992;2682349;1234994
Objekt 15871;Hausen am Albis;Hausen am Albis;8915;Heischerstrasse 41;Hausen am Albis: Doppelwohnhaus Heischerstrasse;Hausteil 1;;00401002;1803;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;PD;27.09.1978;2682400;1233347
Objekt 15872;Hausen am Albis;Hausen am Albis;8915;Heischerstrasse 39;Hausen am Albis: Doppelwohnhaus Heischerstrasse;Hausteil 2;;00401004;1803;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;PD;27.09.1978;2682406;1233348
Objekt 14597;Hausen am Albis;Ebertswil;8925;Husertal 15;Hausen am Albis: Reihenhaus;Hausteil 2;;00400405;1898;-;;;PD;19.09.1979;2684586;1231871
Objekt 7156;Hausen am Albis;Hausen am Albis;8915;"Tüfenbach 15a; Tüfenbach 15b";Hausen am Albis: Doppelwohnhaus Gallmann/Aschwanden;Hausteil 2;;00401434;1742;kantonal;19.12.1979;RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton;PD;24.04.1996;2682330;1235015
Objekt 15870;Hausen am Albis;Hausen am Albis;8915;Müseggstrasse 1;Hausen am Albis: Wohnhaus Müsegg;Hausteil 2;;00400859;1760;-;;;PD;03.12.1976;2682891;1233125
Objekt 7153;Hausen am Albis;Hausen am Albis;8915;Tüfenbach 14;Hausen am Albis: Doppelwohnhaus Tüfenbach;Hausteil 2;;00401420;1715;kantonal;19.12.1979;RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton;PD;05.09.1991;2682356;1234996
Objekt 15873;Hausen am Albis;Hausen am Albis;8915;Vollenweid 5;Hausen am Albis: Doppelwohnhaus;Hausteil 2;;00401308;1843;-;;;PD;15.12.1993;2681252;1234838
Objekt 15142;Hausen am Albis;Hausen am Albis;8915;"Oberalbis 10a; Oberalbis 10b; Oberalbis 10c";Hausen am Albis: Doppelwohnhaus;Hausteil 2;;00400453;1812;-;;;PD;07.09.1973;2684562;1232757
Objekt 15866;Hausen am Albis;Ebertswil;8925;Allmendstrasse 16;Hausen am Albis: Wohnhaus;Hausteil 2;;00400344;1840;-;;;PD;25.02.1992;2684181;1231324
Objekt 15144;Hausen am Albis;Hausen am Albis;8915;Chileweg 1;;Hausteil 3;;00400740;1800;-;;;PD;06.04.1990;2682984;1232996
Objekt 15134;Hausen am Albis;Ebertswil;8925;Allmendstrasse 18;Hausen am Albis: Wohnhaus;Hausteil 3;;00400346;1840;-;;;PD;14.02.1977;2684192;1231332
Objekt 15140;Hausen am Albis;Hausen am Albis;8915;Oberalbis 22;;Hausteil 4;;00400443;1700~1799;-;;;PD;18.08.1995;2684625;1232728
Objekt 15864;Hausen am Albis;Ebertswil;8925;Hirzwangen 8;Hausen am Albis: Vierfamilienwohnhaus;Hausteil 4;;00400087;1;-;;;PD;17.12.1965;2684872;1230847
Objekt 5358;Hausen am Albis;Hausen am Albis;8915;Albisstrasse 16;;Kindergarten Heisch;;00400912;1903;kantonal;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2682820;1233419
Objekt 15862;Hausen am Albis;Hausen am Albis;8915;Ebertswilerstrasse 33;Hausen am Albis: Stiftung Albisbrunn;Landerziehungsheim Albisbrunn, ehem. Bad Albisbrunn;;00400586;1839;-;;;PD;21.12.1987;2683523;1232542
Objekt 2169;Hausen am Albis;Ebertswil;8925;Schweikhof 2;;Oberer Schweikhof;;00400018;1625~1850;regional;15.01.2019;BDV Nr. 1607/2018 Einzelfestsetzung aufgrund Unterschutzstellung mit Inventarblatt;ÖREB;14.03.2019;2685572;1231268
Objekt 1296;Hausen am Albis;Hausen am Albis;8915;;Hausen am Albis/Kappel am Albis: Sperrstelle 5126;Panzersperre T02596;;;1;kantonal;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2682289;1232469
Objekt 16013;Hausen am Albis;Ebertswil;8925;Husertalstrasse 15 bei;Hausen am Albis: Landgut «Tannhof» mit Parkanlage;Parkanlage;;;1870~1914;regional;08.03.1993;BDV Nr. 0308/1993 Einzelfestsetzung ohne Inventarblatt, AREV Nr. 1446/2017 Inventarblatt, BDV Nr. 0867/2018 Unterschutzstellung;ÖREB;26.11.2018;2684045;1232012
Objekt 5347;Hausen am Albis;Ebertswil;8925;Dorfstrasse 10;Hausen am Albis: Primarschulhaus Ebertswil;Primarschulhaus Ebertswil;;00400293;1882~1883;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2684112;1231268
Objekt 5305;Hausen am Albis;Hausen am Albis;8915;Schulhausstrasse 18;"Hausen am Albis: Schulanlage Hausen; Hausen am Albis: *Primarschulanlage";Primarschulhaus mit Abwartswohnung;;00400708;1958;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2683115;1232841
Objekt 5351;Hausen am Albis;Hausen am Albis;8915;Schulhausstrasse 1a;Hausen am Albis: Pfrundliegenschaft;Ref. Kirche;;00400726;1751;regional;19.12.1979;RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton;-;;2683001;1232955
Objekt 5350;Hausen am Albis;Hausen am Albis;8915;Schulhausstrasse 1;Hausen am Albis: Pfrundliegenschaft;Ref. Pfarrhaus;;00400724;1855;regional;19.12.1979;RRB 3438/1984 Knonaueramt, RRB 5113/1979 Liste Kanton;-;;2683012;1232942
Objekt 1360;Hausen am Albis;Ebertswil;8925;Dorfstrasse 4 bei;Hausen am Albis: Wohnhaus mit Scheune;Scheune;;00400315;1845~1848;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2684027;1231396
Objekt 12376;Hausen am Albis;Ebertswil;8925;Schweikhof 9a bei;Hausen am Albis: Unterer Schweikhof;Scheune;;00400037;1786;regional;10.12.1992;RRB Nr. 2970/1992 Einzelfestsetzung ohne Inventarblatt, AREV Nr. 1446/2017 Inventarblatt;PD;10.12.1992;2685667;1231084
Objekt 15136;Hausen am Albis;Ebertswil;8925;Allmendstrasse 11a;;Scheune;;00400357;1;-;;;PD;06.04.2004;2684166;1231369
Objekt 7150;Hausen am Albis;Ebertswil;8925;Dorfstrasse 10 bei;Hausen am Albis: Primarschulhaus Ebertswil;Schopf;;00400295;1883;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2684087;1231264
Objekt 15138;Hausen am Albis;Ebertswil;8925;Husertal 11;;Speicher;;00400401;1781;-;;;PD;04.08.1992;2684568;1231890
Objekt 12426;Hausen am Albis;Hausen am Albis;8915;Zugerstrasse 13 bei;Hausen am Albis: Wohnhaus «Zum Wiesenthal» mit Stallscheune;Stallscheune;;00400858;1858~1894;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2682941;1233142
Objekt 10934;Hausen am Albis;Hausen am Albis;8915;Schulhausstrasse;"Hausen am Albis: Schulanlage Hausen; Hausen am Albis: *Primarschulanlage";Turnhalle;;00400711;1939;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2683075;1232863
Objekt 12793;Hausen am Albis;Ebertswil;8925;Husertalstrasse 15;Hausen am Albis: Landgut «Tannhof» mit Parkanlage;Villa «Tannhof» mit Gärtner- und Chauffeurhaus;;00400534;1913~1914;regional;08.03.1993;BDV Nr. 0308/1993 Einzelfestsetzung ohne Inventarblatt, AREV Nr. 1446/2017 Inventarblatt, BDV Nr. 0867/2018 Unterschutzstellung;ÖREB;26.11.2018;2684012;1232002
Objekt 12377;Hausen am Albis;Ebertswil;8925;Schweikhof 9a bei;Hausen am Albis: Unterer Schweikhof;Waschhaus mit Schopfanbau;;00400038;1841;regional;10.12.1992;RRB Nr. 2970/1992 Einzelfestsetzung ohne Inventarblatt, AREV Nr. 1446/2017 Inventarblatt;PD;10.12.1992;2685648;1231107
Objekt 5349;Hausen am Albis;Hausen am Albis;8915;Schulhausstrasse 1b;Hausen am Albis: Pfrundliegenschaft;Waschhaus mit Schopfanbau;;00400722;1890;regional;19.12.1979;RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton;-;;2683028;1232948
Objekt 15131;Hausen am Albis;Ebertswil;8925;Mülibachweg 8;;Wohnhaus;;00400198;1;-;;;PD;06.04.1990;2684031;1231172
Objekt 15867;Hausen am Albis;Ebertswil;8925;Husertal 21;;Wohnhaus;;00400411;1850;-;;;PD;19.04.1991;2684569;1231917
